"Tag_ID","Release_FK","Scan_date_time","Hex_tag_ID","Dec_tag_ID","Length","Notes","Release_date_time","Release_location","Capture_location","Capture_method","Species","Hatchery_status","Release_type","N_char"
31367,278,2024-03-18 09:59:00,"3D6.1534698632","982.091073644082",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31368,278,2024-03-18 10:00:00,"3D6.1534698602","982.091073644034",61,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31369,278,2024-03-18 10:00:00,"3D6.1534698A57","982.091073645143",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31370,278,2024-03-18 10:01:00,"3D6.1534698A67","982.091073645159",49,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31371,278,2024-03-18 10:01:00,"3D6.15346985FD","982.091073644029",58,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31372,278,2024-03-18 10:02:00,"3D6.1534698A55","982.091073645141",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31373,278,2024-03-18 10:02:00,"3D6.1534698613","982.091073644051",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31374,278,2024-03-18 10:03:00,"3D6.15346985DB","982.091073643995",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31375,278,2024-03-18 10:03:00,"3D6.1534698A2A","982.091073645098",63,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31376,278,2024-03-18 10:04:00,"3D6.1534698627","982.091073644071",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31377,278,2024-03-18 10:04:00,"3D6.1534698604","982.091073644036",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31378,278,2024-03-18 10:04:00,"3D6.1534698A4C","982.091073645132",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31379,278,2024-03-18 10:05:00,"3D6.1534698617","982.091073644055",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31380,278,2024-03-18 10:05:00,"3D6.1534698624","982.091073644068",46,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31381,278,2024-03-18 10:06:00,"3D6.1534698609","982.091073644041",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31382,278,2024-03-18 10:07:00,"3D6.1534698616","982.091073644054",48,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31383,278,2024-03-18 10:08:00,"3D6.15346985E7","982.091073644007",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31384,278,2024-03-18 10:08:00,"3D6.1534698A41","982.091073645121",58,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31385,278,2024-03-18 10:09:00,"3D6.1534698618","982.091073644056",60,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31386,278,2024-03-18 10:09:00,"3D6.1534698A52","982.091073645138",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31387,278,2024-03-18 10:09:00,"3D6.1534698A5C","982.091073645148",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31388,278,2024-03-18 10:10:00,"3D6.1534698A42","982.091073645122",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31389,278,2024-03-18 10:10:00,"3D6.1534698A4D","982.091073645133",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31390,278,2024-03-18 10:10:00,"3D6.1534698606","982.091073644038",61,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31391,278,2024-03-18 10:11:00,"3D6.15346985F6","982.091073644022",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31392,278,2024-03-18 10:11:00,"3D6.1534698A26","982.091073645094",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31393,278,2024-03-18 10:12:00,"3D6.15346985FA","982.091073644026",58,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31394,278,2024-03-18 10:12:00,"3D6.1534698A40","982.09107364512",48,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
