"Hex_tag_ID","Duwamish People's Park","Lower Green Barge 1","Lower Green Barge 2","Lower Russel Backwater","Porter Side Channel","WDFW TBiOS Opposite Slip 4","WDFW TBiOS Slip 4"
"003.374078D165",2024-06-08 20:29:00,2024-06-08 20:29:00,NA,NA,NA,NA,NA
"3D6.1533D3505C",NA,NA,2024-05-19 14:28:09,NA,NA,NA,NA
"3D6.1533D35080",NA,NA,2024-05-30 09:28:25,NA,NA,NA,NA
"3D6.1533F83FD0",NA,NA,NA,NA,2024-04-13 03:47:57,NA,NA
"3D6.1533F841A7",NA,2024-06-06 00:11:51,NA,2024-06-06 00:11:51,NA,NA,NA
"3D6.1533F841D3",2024-05-25 20:46:27,2024-05-25 20:46:27,NA,NA,NA,NA,NA
"3D6.1533F841D7",NA,2024-05-09 02:40:37,NA,2024-05-09 02:40:37,NA,NA,NA
"3D6.1533F841EC",NA,NA,2024-05-20 20:29:51,NA,NA,NA,NA
"3D6.1533F841F4",NA,NA,NA,NA,2024-04-02 21:36:02,NA,NA
"3D6.1533F841FD",NA,NA,NA,NA,2024-04-18 18:15:39,NA,NA
"3D6.1533F88F87",NA,2024-05-17 22:45:04,2024-05-17 22:48:32,2024-05-17 22:45:04,NA,NA,NA
"3D6.1533F88F95",NA,NA,2024-05-18 01:15:34,NA,NA,NA,NA
"3D6.153468E47A",NA,NA,NA,NA,2024-04-08 13:36:24,NA,NA
"3D6.153468EE5E",NA,2024-05-17 21:58:32,NA,2024-05-17 21:58:32,NA,NA,NA
"3D6.15346985BD",NA,2024-06-03 22:01:41,NA,2024-06-03 22:01:41,NA,NA,NA
"3D6.15346985D2",NA,NA,2024-05-23 00:29:01,NA,NA,NA,NA
"3D6.15346985E6",NA,NA,NA,NA,2024-03-29 13:41:39,NA,NA
"3D6.1534698606",NA,NA,NA,NA,2024-03-28 13:57:33,NA,NA
"3D6.1534698619",NA,NA,NA,NA,2024-04-03 05:19:37,NA,NA
"3D6.1534698626",NA,2024-03-29 05:23:32,NA,2024-03-29 05:23:32,NA,NA,NA
"3D6.153469862B",NA,2024-05-19 22:37:51,NA,2024-05-19 22:37:51,NA,NA,NA
"3D6.1534698637",NA,NA,NA,NA,2024-03-28 17:58:52,NA,NA
"3D6.1534698A53",NA,2024-05-31 02:29:29,NA,2024-05-31 02:29:29,NA,NA,NA
"3D6.1534698A69",NA,NA,2024-05-18 22:02:29,NA,NA,NA,NA
"3D6.15346999F0",NA,2024-05-10 03:31:21,NA,2024-05-10 03:31:21,NA,NA,NA
"3D6.1534699A10",NA,NA,2024-04-29 18:57:39,NA,NA,NA,NA
"3D6.1534699A35",NA,NA,2024-05-21 21:54:31,NA,NA,NA,NA
"3D6.1534699A7B",NA,NA,2024-04-29 17:13:48,NA,NA,NA,NA
"3D6.1534699A84",NA,2024-05-23 21:20:28,NA,2024-05-23 21:20:28,NA,NA,NA
"3D6.1534699A90",NA,NA,NA,NA,2024-05-29 13:44:03,NA,NA
"3D6.1534699AAB",NA,NA,2024-04-02 09:40:43,NA,NA,NA,NA
"3D6.1534699CE7",NA,2024-05-23 22:58:41,NA,2024-05-23 22:58:41,NA,NA,NA
"3D6.1534699CF1",NA,NA,2024-05-20 08:19:26,NA,NA,NA,NA
"3D6.1534699CFE",NA,NA,2024-05-12 23:18:10,NA,NA,NA,NA
"3D6.1534699D18",NA,2024-05-17 19:08:29,NA,2024-05-17 19:08:29,NA,NA,NA
"3D6.1534699D23",NA,2024-05-18 22:37:30,NA,2024-05-18 22:37:30,NA,NA,NA
"3D6.153469A1EC",NA,2024-05-18 01:57:19,NA,2024-05-18 01:57:19,NA,NA,NA
"3D6.153469A239",NA,2024-05-30 15:26:18,NA,2024-05-30 15:26:18,NA,NA,NA
"3D6.153469A254",NA,NA,NA,NA,2024-03-31 12:52:01,NA,NA
"3D6.153469A279",NA,NA,NA,NA,2024-04-05 16:36:07,NA,NA
"3D6.153469A28C",2024-05-16 02:31:46,2024-05-16 02:31:46,NA,NA,NA,NA,NA
"3D6.153469A45D",NA,NA,NA,NA,2024-03-27 12:38:32,NA,NA
"3D6.153469A46C",NA,2024-06-12 20:40:28,NA,2024-06-12 20:40:28,NA,NA,NA
"3D6.153469A48B",NA,2024-05-16 21:24:18,NA,2024-05-16 21:24:18,NA,NA,NA
"3D6.153469A48D",NA,2024-05-24 05:40:32,NA,2024-05-24 05:40:32,NA,NA,NA
"3D6.153469A4B3",NA,NA,2024-06-01 04:54:50,NA,NA,NA,NA
